Fern Number,Dead,Healthy,Unhealthy,Fiddleheads,Total,Treatment,Trial
W77,10,16,46,3,72,Wild,2
C78,30,10,25,2,65,Control,2
W78,19,26,41,1,86,Wild,2
P14,19,10,46,0,75,Potting,2
W80,52,2,3,0,57,Wild,2
C79,42,16,33,3,101,Control,2
W79,13,12,38,0,63,Wild,2
C80,15,21,42,0,78,Control,2
P15,18,15,30,0,63,Potting,2
C81,8,9,51,5,68,Control,2
W81,38,2,17,3,57,Wild,2
C82,10,9,43,4,62,Control,2
W82,17,12,19,1,48,Wild,2
P16,12,11,44,1,67,Potting,2
C83,28,16,57,7,101,Control,2
W83,12,17,22,0,51,Wild,2
C84,20,20,48,3,88,Control,2
W84,28,11,26,1,65,Wild,2
C85,27,21,43,0,91,Control,2
W85,3,18,38,2,59,Wild,2
C86,27,11,47,1,85,Control,2
W86,6,18,38,3,62,Wild,2
P17,23,6,36,2,65,Potting,2
C87,18,16,53,2,87,Control,2
W87,20,4,24,1,48,Wild,2
C88,15,16,40,0,71,Control,2
P18,16,14,31,1,61,Potting,2
W88,13,12,34,0,59,Wild,2
C89,14,18,41,0,73,Control,2
W89,26,6,15,1,47,Wild,2
