Fern Number,Dead,Healthy,Unhealthy,Fiddleheads,Total,Treatment,Trial
C01,6,6,32,2,44,Control,1
C02,11,14,26,1,51,Control,1
C03,6,7,21,0,34,Control,1
C04,7,4,38,1,49,Control,1
C05,7,9,36,2,52,Control,1
C06,6,7,54,2,67,Control,1
C07,8,4,24,3,36,Control,1
C08,7,1,48,0,56,Control,1
C09,5,1,39,1,45,Control,1
C10,3,1,44,2,48,Control,1
C11,8,2,49,2,59,Control,1
C13,3,10,54,1,67,Control,1
C14,3,5,46,1,54,Control,1
C15,14,13,29,2,56,Control,1
C16,7,2,19,1,28,Control,1
C17,9,9,44,1,62,Control,1
C18,25,2,42,1,69,Control,1
C19,32,1,33,0,66,Control,1
C20,24,2,43,1,69,Control,1
C21,8,0,38,0,46,Control,1
C22,4,1,29,1,34,Control,1
C23,9,1,38,0,48,Control,1
C24,10,5,42,1,57,Control,1
C25,20,8,39,2,67,Control,1
C26,15,4,51,1,70,Control,1
C27,8,15,40,1,63,Control,1
C28,7,18,31,0,56,Control,1
C29,10,2,22,3,34,Control,1
C30,11,6,42,2,59,Control,1
C31,9,5,30,1,44,Control,1
C32,8,12,44,1,64,Control,1
C33,18,1,42,4,61,Control,1
C34,14,6,45,1,65,Control,1
C35,1,4,25,2,30,Control,1
C36,8,3,28,,39,Control,1
C37,8,8,41,0,57,Control,1
C38,10,5,51,0,66,Control,1
C39,2,2,24,1,28,Control,1
C40,9,2,53,0,64,Control,1
C41,3,0,35,0,38,Control,1
C42,5,3,47,2,55,Control,1
C43,8,1,43,0,52,Control,1
C44,5,4,45,2,54,Control,1
C45,8,3,51,1,62,Control,1
W01,7,9,37,1,53,Wild,1
W02,6,8,25,1,39,Wild,1
W03,11,4,12,0,27,Wild,1
W04,4,0,29,0,33,Wild,1
W05,7,12,25,2,44,Wild,1
W06,2,3,38,4,43,Wild,1
W07,8,3,37,0,48,Wild,1
W08,,2,35,0,37,Wild,1
W09,4,3,34,2,41,Wild,1
W10,12,3,29,2,44,Wild,1
W11,8,6,39,0,53,Wild,1
W11,5,10,43,2,58,Wild,1
W12,9,13,29,2,51,Wild,1
W13,5,2,31,1,38,Wild,1
W14,3,2,54,2,59,Wild,1
W15,12,7,31,1,50,Wild,1
W16,33,2,16,1,51,Wild,1
W17,14,14,43,0,71,Wild,1
W18,11,6,36,0,53,Wild,1
W19,12,0,41,0,53,Wild,1
W20,24,12,33,0,69,Wild,1
W21,0,1,29,2,30,Wild,1
W22,5,11,49,0,65,Wild,1
W23,7,5,31,0,43,Wild,1
W24,7,3,28,0,38,Wild,1
W25,12,9,32,0,53,Wild,1
W26,19,7,54,2,80,Wild,1
W27,16,6,27,0,49,Wild,1
W28,10,5,28,1,43,Wild,1
W29,5,12,58,3,75,Wild,1
W30,18,6,35,2,59,Wild,1
W31,14,6,46,3,66,Wild,1
W32,24,3,54,5,81,Wild,1
W33,21,1,44,4,66,Wild,1
W34,9,6,40,0,55,Wild,1
W35,10,6,51,0,67,Wild,1
W36,11,4,41,1,56,Wild,1
W37,3,2,22,1,27,Wild,1
W38,8,2,46,2,56,Wild,1
W39,4,4,46,0,54,Wild,1
W40,8,1,47,0,56,Wild,1
W41,4,6,36,2,46,Wild,1
W42,7,2,26,0,35,Wild,1
W43,6,2,39,1,47,Wild,1
W44,9,3,46,3,58,Wild,1
W45,4,2,39,1,45,Wild,1
C46,8,0,31,0,39,Control,2
W46,9,7,42,0,58,Wild,2
P01,4,4,37,1,45,Potting,2
C47,8,5,35,0,48,Control,2
W47,8,9,42,0,59,Wild,2
C48,5,4,18,1,27,Control,2
W48,10,6,51,0,67,Wild,2
P02,11,5,47,2,63,Potting,2
C49,11,0,36,0,47,Control,2
W49,29,1,51,0,81,Wild,2
W50,35,2,31,0,68,Wild,2
C50,16,0,49,1,65,Control,2
C51,7,3,26,0,36,Control,2
W51,6,0,47,0,53,Wild,2
C52,5,5,45,1,55,Control,2
W52,13,5,49,0,67,Wild,2
P04,12,4,46,0,62,Potting,2
C53,13,7,29,0,49,Control,2
W53,8,1,42,0,51,Wild,2
C54,17,5,41,0,63,Control,2
W54,5,7,32,1,44,Wild,2
P05,16,11,25,1,51,Potting,2
C55,12,3,31,0,46,Control,2
W55,6,3,34,0,43,Wild,2
C56,9,4,50,3,62,Control,2
W56,9,2,12,0,23,Wild,2
C57,7,4,32,0,43,Control,2
W57,21,0,31,0,52,Wild,2
W58,9,6,49,0,64,Wild,2
C58,13,2,35,2,50,Control,2
P06,6,0,38,2,46,Potting,2
C59,9,0,39,0,48,Control,2
W59,15,4,35,0,54,Wild,2
C60,8,1,35,1,44,Control,2
W60,33,0,19,0,52,Wild,2
P07,11,3,43,0,57,Potting,2
C61,10,4,25,0,39,Control,2
W61,6,3,51,0,60,Wild,2
W62,19,3,43,0,64,Wild,2
C63,5,8,20,1,43,Control,2
W63,14,0,38,0,52,Wild,2
C64,9,3,30,3,42,Control,2
W64,17,0,31,0,48,Wild,2
P08,4,2,30,0,36,Potting,2
W65,13,2,31,0,41,Wild,2
C65,16,1,21,0,38,Control,2
C66,12,1,52,0,65,Control,2
W66,14,2,40,2,56,Wild,2
P09,12,4,21,0,37,Potting,2
C67,13,2,34,2,49,Control,2
W67,14,4,36,2,54,Wild,2
C68,12,1,49,0,62,Control,2
W68,11,6,39,0,56,Wild,2
C69,18,1,48,2,67,Control,2
W69,16,6,50,0,72,Wild,2
C70,11,2,33,0,45,Control,2
W70,17,2,34,0,53,Wild,2
P10,6,3,29,0,38,Potting,2
C71,14,4,31,0,49,Control,2
W71,8,3,8,0,19,Wild,2
C72,6,2,60,1,68,Control,2
W72,22,3,18,1,43,Wild,2
P11,9,0,44,1,53,Potting,2
C73,6,9,43,0,58,Control,2
W73,12,2,31,2,45,Wild,2
C74,19,0,41,1,60,Control,2
W74,12,7,43,0,62,Wild,2
P12,4,2,32,2,38,Potting,2
C75,25,0,23,0,48,Control,2
W75,8,7,49,0,64,Wild,2
W76,22,2,35,0,59,Wild,2
C76,15,2,19,1,36,Control,2
P13,14,1,20,0,35,Potting,2
C77,8,2,41,0,51,Control,2
W77,7,5,54,0,66,Wild,2
C78,15,3,28,0,46,Control,2
W78,11,5,40,0,56,Wild,2
P14,12,7,38,0,57,Potting,2
C79,14,17,43,3,74,Control,2
W79,8,8,36,0,52,Wild,2
C80,8,4,51,1,63,Control,2
W80,36,0,8,0,44,Wild,2
P15,12,4,29,1,45,Potting,2
C81,7,5,48,0,60,Control,2
W81,13,5,29,2,47,Wild,2
C82,9,4,33,1,46,Control,2
W82,11,3,24,0,38,Wild,2
P16,13,4,38,1,55,Potting,2
C83,14,3,57,0,74,Control,2
W83,4,2,29,1,35,Wild,2
C84,7,8,54,2,69,Control,2
W84,6,2,39,2,47,Wild,2
C85,12,5,55,1,72,Control,2
W85,9,4,32,1,45,Wild,2
C86,14,3,51,2,68,Control,2
W86,11,0,46,1,57,Wild,2
P17,7,1,41,1,49,Potting,2
C87,16,3,57,1,76,Control,2
W87,17,2,23,0,42,Wild,2
C88,14,2,41,1,57,Control,2
W88,19,1,29,1,49,Wild,2
P18,5,4,42,2,51,Potting,2
C89,6,7,50,2,63,Control,2
W89,28,2,14,0,44,Wild,2
